# The quiz: a text, then "=>", then the space it should build, then (optional) "|" and
# questions with their answers: "question = answer; question = answer".
# Statements: "X in Y" (X is inside Y), "X is Y" (X joined the group Y), "X owns Y", "X: fact".
# Separate with ";".
# Answers: names ("green"; "bike, car" when more than one), "yes", "no", "nothing", or a number
# written in digits.
# Every line starts from an empty space. Only the permanent space counts: what the reader kept
# when a sentence settled. Questions are asked of that space. No word has a meaning in the code: the
# reader learns which behaviors each word promotes from these lines.
# Most lines are scenes: two to five statements, then many questions about them. The questions
# ask each fact in several wordings (where is X, what is in Y, is X in Y), ask about a thing the
# scene does not name (nothing, no), and combine facts where the concept allows. Things in one
# scene have distinct names, unless the concept is about two of the same kind. Simple scenes come
# first. Turn lines stay one statement and one question, since a turn draws one answer.
# Lines that start with "test:" are held out: the reader never learns from them; they show if
# what was learned works on new sentences. Test scenes use new names and things in the shapes
# the learned scenes teach.
# The shape of the numbers facts: the digits put their number on the stack, "=" applies nothing,
# and the word takes the number. Read before the facts are seeded, so the word's value comes only
# from the digits; the facts file 14-numbers.txt is written in this shape and seeded for the rest.
# These scenes only state, since the facts file they teach only states.
3 = three . 5 = five . => 3 = 3; three = 3; 5 = 5; five = 5
10 = ten . 13 = thirteen . => 10 = 10; ten = 10; 13 = 13; thirteen = 13
40 = forty . 100 = hundred . => 40 = 40; forty = 40; 100 = 100; hundred = 100
test: 70 = seventy . 14 = fourteen . => 70 = 70; seventy = 70; 14 = 14; fourteen = 14
seed: 14-numbers
the dogs went to the garden. they had a ball. the apple is red. the apple is also sweet. => dogs in garden; dogs owns ball; apple is red; apple is sweet | who had the ball? = dogs; what is sweet? = apple; where are the dogs? = garden; what is red? = apple; is the apple sweet? = yes; what did the dogs have? = ball; is the ball red? = no; what is in the garden? = dogs
the cats are in the garden. they had a toy. tom is in the garden. tom had a ball. he is happy. => cats in garden; cats owns toy; tom in garden; tom owns ball; tom is happy | who had the toy? = cats; what is happy? = tom; where are the cats? = garden; where is tom? = garden; who had the ball? = tom; what is in the garden? = cats, tom; what did the cats have? = toy; is tom happy? = yes; what did tom have? = ball
ben had a box. ben had a car. his car is red. the dogs were in the garden. => ben owns box; ben owns car; car is red; dogs in garden | what is red? = car; who had the car? = ben; where are the dogs? = garden; who had the box? = ben; what did ben have? = box, car; is the box red? = no; what is in the garden? = dogs; who had the dogs? = nothing
tom went to the school. tom is happy. he had a bag. jack is in the park with emma. => tom in school; tom is happy; tom owns bag; jack in park; emma in park | who had the bag? = tom; where is emma? = park; where is tom? = school; where is jack? = park; what is happy? = tom; what is in the park? = emma, jack; what did tom have? = bag; is jack happy? = no; is emma in the school? = no
tom is in the park with ann. ben is in the room with kim. the cat is on the bed with the dog. => tom in park; ann in park; ben in room; kim in room; cat in bed; dog in bed | where is ann? = park; where is kim? = room; where is the dog? = bed; where is tom? = park; where is ben? = room; where is the cat? = bed; what is in the room? = ben, kim; what is on the bed? = cat, dog; is ann in the room? = no; is kim in the park? = no
ann went to the school with her dog. the men are in the house. their cat is white. => ann in school; dog in school; ann owns dog; men in house; men owns cat; cat is white | where is the dog? = school; where is ann? = school; who had the dog? = ann; who had the cat? = men; where are the men? = house; what is white? = cat; what is in the school? = ann, dog; is the cat in the school? = no
the cat is in the house but the dog is in the garden. tom had a car but ann had a bike. => cat in house; dog in garden; tom owns car; ann owns bike | where is the dog? = garden; where is the cat? = house; who had the bike? = ann; who had the car? = tom; what did tom have? = car; what did ann have? = bike; what is in the house? = cat; is the dog in the house? = no; is the cat in the garden? = no; who had the ball? = nothing
the cat will be in the garden. the dog will be in the house. the key has been in the box. => cat in garden; dog in house; key in box | where is the cat? = garden; where is the dog? = house; where is the key? = box; what is in the garden? = cat; what is in the house? = dog; what is in the box? = key; is the key in the house? = no; is the cat in the box? = no; where is the bird? = nothing
the cat has been in the garden. the car which is in the garage is new. a big dog is in the house. => cat in garden; car in garage; car is new; dog is big; dog in house | where is the cat? = garden; what is new? = car; what is big? = dog; where is the car? = garage; where is the dog? = house; is the car new? = yes; is the dog new? = no; what is in the garage? = car; is the cat big? = no
the cat that is in the house is black. the dog which is in the garden is brown. the box that has a key is red. => cat in house; cat is black; dog in garden; dog is brown; box owns key; box is red | what is black? = cat; what is brown? = dog; what is red? = box; where is the cat? = house; where is the dog? = garden; what does the box have? = key; is the cat brown? = no; what color is the dog? = brown; is the key red? = no; what is in the house? = cat
the red car is in the garage. a black cat is on the bed. the happy boy is in the room. => car is red; car in garage; cat is black; cat in bed; boy is happy; boy in room | what is red? = car; where is the car? = garage; what is black? = cat; what is happy? = boy; where is the cat? = bed; where is the boy? = room; is the boy happy? = yes; is the car black? = no; what is on the bed? = cat; what is in the room? = boy
the new car is red. a green box is in the room. a brown dog is in the garden. => car is new; car is red; box is green; box in room; dog is brown; dog in garden | what is new? = car; what is green? = box; what is brown? = dog; what is red? = car; where is the box? = room; where is the dog? = garden; is the car new? = yes; is the box brown? = no; what is in the garden? = dog; where is the car? = nothing
a bigger box is in the house. tom had a new bike. => box is bigger; box in house; tom owns bike; bike is new | what is bigger? = box; what is new? = bike; where is the box? = house; who had the bike? = tom; what did tom have? = bike; is the bike new? = yes; is the box new? = no; what is in the house? = box
the old man is in the park. the cat went from the house to the garden. the ball is in the small cup. => man is old; man in park; cat in garden; ball in cup; cup is small | what is old? = man; where is the cat? = garden; what is small? = cup; where is the man? = park; where is the ball? = cup; what is in the cup? = ball; is the cat in the house? = no; is the man small? = no; what is in the garden? = cat
the big box is old. the dog is in the park. the dog went from the park to the house. the bird flew from the tree to the cage. => box is big; box is old; dog in house; bird in cage | what is old? = box; where is the dog? = house; where is the bird? = cage; what is big? = box; is the box big? = yes; is the dog in the park? = no; what is in the cage? = bird; what is in the tree? = nothing; is the bird old? = no
the key is in the red box. tom had a green bag. => key in box; box is red; tom owns bag; bag is green | what is red? = box; where is the key? = box; what is green? = bag; who had the bag? = tom; what did tom have? = bag; what is in the box? = key; is the bag red? = no; is the key green? = no; who had the box? = nothing
ann had a red bag. the first box is big. => ann owns bag; bag is red; box is first; box is big | what is red? = bag; who had the bag? = ann; what is big? = box; what is first? = box; what did ann have? = bag; is the box red? = no; is the bag big? = no; who had the box? = nothing
ben had a red car. a cat is in the house. the other cat is in the garden. => ben owns car; car is red; cat in house; cat in garden | what is red? = car; where is the cat? = garden, house; who had the car? = ben; what did ben have? = car; what is in the house? = cat; what is in the garden? = cat; is the cat red? = no; who had the cat? = nothing
the first car is red. one dog is in the garden. one bird is in the tree. => car is first; car is red; dog in garden; dog is one; one = 1; bird in tree; bird is one | what is first? = car; where is the dog? = garden; where is the bird? = tree; what is red? = car; what is in the garden? = dog; what is in the tree? = bird; is the car first? = yes; is the dog in the tree? = no; where is the car? = nothing
a car is in the garage. the other car is in the street. two dogs are in the park. => car in garage; car in street; dogs in park; dogs is two; two = 2 | where is the car? = garage, street; where are the dogs? = park; how many dogs are in the park? = 2; what is in the garage? = car; what is in the park? = dogs; what is in the street? = car; is the car in the park? = no; where are the cats? = nothing
two cats are on the bed. three dogs are in the park. => cats in bed; cats is two; two = 2; dogs in park; dogs is three; three = 3 | where are the cats? = bed; how many cats are on the bed? = 2; where are the dogs? = park; how many dogs are in the park? = 3; what is on the bed? = cats; what is in the park? = dogs; are the dogs in the park? = yes; where are the birds? = nothing
# A counted thing that someone has: the number is what the things joined, the owner keeps the
# things, and the question "how many X do I have" asks for the number.
i have two dogs. we have three cats. we have six pens. => i owns dogs; dogs is two; two = 2; we owns cats; cats is three; three = 3; we owns pens; pens is six; six = 6 | how many dogs do i have? = 2; what do i have? = dogs; how many cats do we have? = 3; how many pens do we have? = 6; who has the dogs? = i; who has the pens? = we; what do we have? = cats, pens; who has the cats? = we
i have five keys. ann is in the garden with tom. the pen broke. => i owns keys; keys is five; five = 5; ann in garden; tom in garden; pen: broke | how many keys do i have? = 5; where is tom? = garden; what broke? = pen; what do i have? = keys; where is ann? = garden; what is in the garden? = ann, tom; who has the keys? = i; is tom in the house? = no; what broke down? = nothing
the key is in the box with the pen. the bike broke down. the roof of the house is red. => key in box; pen in box; bike: broke down; roof in house; roof is red | where is the pen? = box; what broke down? = bike; where is the roof? = house; what is red? = roof; where is the key? = box; what is in the box? = key, pen; is the bike red? = no; is the pen in the house? = no
the lid of the box is blue. the wheel of the bike broke. the box is on the bed. the key is in it. => lid in box; lid is blue; wheel in bike; wheel: broke; box in bed; key in box | what is blue? = lid; what broke? = wheel; where is the wheel? = bike; where is the key? = box; where is the lid? = box; where is the box? = bed; what is in the box? = key, lid; is the box blue? = no; what is on the bed? = box
the bag is red. the pen is in it. the bowl is on the table. the apple is in it. => bag is red; pen in bag; bowl in table; apple in bowl | what is in the bag? = pen; where is the apple? = bowl; what is red? = bag; where is the pen? = bag; where is the bowl? = table; what is in the bowl? = apple; is the pen red? = no; is the apple in the bag? = no; what is on the table? = bowl
the car is in the street. the dog is in it. tom is in the park. ann is in the park with him. => car in street; dog in car; tom in park; ann in park | where is the dog? = car; where is ann? = park; where is the car? = street; where is tom? = park; what is in the car? = dog; what is in the park? = ann, tom; is the dog in the park? = no; is tom in the car? = no; where is ben? = nothing
jack is in the house. emma is in the house with him. ben is in the car. kim is in the car with him. => jack in house; emma in house; ben in car; kim in car | where is emma? = house; where is kim? = car; where is jack? = house; where is ben? = car; what is in the house? = emma, jack; what is in the car? = ben, kim; is kim in the house? = no; is emma in the car? = no; where is tom? = nothing
the kids are in the garden. ann is with them. ben is in the room. kim is also in the room. => kids in garden; ann in garden; ben in room; kim in room | where is ann? = garden; where is kim? = room; where are the kids? = garden; where is ben? = room; what is in the garden? = ann, kids; what is in the room? = ben, kim; is ann in the room? = no; is kim in the garden? = no
tom is in the park. ann is also in the park. the key is in the box. the pen is also in the box. => tom in park; ann in park; key in box; pen in box | where is ann? = park; where is the pen? = box; where is tom? = park; where is the key? = box; what is in the park? = ann, tom; what is in the box? = key, pen; is the pen in the park? = no; is ann in the box? = no
the bird is in the tree. the cat is also in the tree. only the key is in the box. => bird in tree; cat in tree; key in box | where is the cat? = tree; where is the key? = box; where is the bird? = tree; what is in the tree? = bird, cat; what is in the box? = key; is the cat in the box? = no; is the key in the tree? = no; where is the dog? = nothing
only the cat is in the house. all the keys are in the box. the bird flew to the tree. => cat in house; keys in box; bird in tree | what is in the house? = cat; what is in the box? = keys; where is the bird? = tree; where is the cat? = house; where are the keys? = box; what is in the tree? = bird; is the cat in the tree? = no; is the bird in the house? = no
all the cats are in the garden. three birds are in the tree. ben is in the room. the dog is in the room with him. => cats in garden; birds in tree; birds is three; three = 3; ben in room; dog in room | where are the cats? = garden; what is in the tree? = birds; how many birds are in the tree? = 3; where is the dog? = room; where are the birds? = tree; where is ben? = room; what is in the room? = ben, dog; what is in the garden? = cats; is the dog in the garden? = no
the ball flew into the garden. the boys are in the park. tom is with them. tom had a blue bike. => ball in garden; boys in park; tom in park; tom owns bike; bike is blue | what is in the garden? = ball; where is tom? = park; what is blue? = bike; where is the ball? = garden; where are the boys? = park; who had the bike? = tom; what is in the park? = boys, tom; is the ball blue? = no; what did tom have? = bike
the blue box is in the room. the dog that is on the bed is brown. the cup which is on the table is red. => box is blue; box in room; dog in bed; dog is brown; cup in table; cup is red | what is blue? = box; what is brown? = dog; what is red? = cup; where is the box? = room; where is the dog? = bed; where is the cup? = table; is the cup blue? = no; what is on the bed? = dog; what color is the box? = blue; is the dog brown? = yes
the pen that is in the bag is old. the dog is in the garden. the dog is not in the garden. the cat is in the garden. => pen in bag; pen is old; cat in garden | what is old? = pen; what is in the garden? = cat; where is the pen? = bag; where is the dog? = nothing; where is the cat? = garden; is the dog in the garden? = no; what is in the bag? = pen; is the cat old? = no
the key is in the box. the key is not in the box. the pen is in the box. the cat is not in the house. the dog is in the house. => pen in box; dog in house | what is in the box? = pen; what is in the house? = dog; is the cat in the house? = no; where is the key? = nothing; where is the pen? = box; where is the dog? = house; is the key in the box? = no; where is the cat? = nothing; is the pen in the box? = yes
the ball is in the box. the ball is not in the box. the ball is in the bag. the pen is not in the bag. the pen is in the cup. => ball in bag; pen in cup | where is the ball? = bag; where is the pen? = cup; what is in the bag? = ball; what is in the cup? = pen; is the ball in the box? = no; is the pen in the bag? = no; what is in the box? = nothing; is the ball in the bag? = yes
# A thing taken out of its place is nowhere: "where" asks for a place and finds none, which is
# nothing, not no. These carry weight because a reading of "where" that says no still passes every
# line above.
the key is in the box. the key is not in the box. the dog is in the garden. the dog left the garden. => | where is the key? = nothing; where is the dog? = nothing; is the key in the box? = no; is the dog in the garden? = no; what is in the box? = nothing; what is in the garden? = nothing; where is the cat? = nothing; is the dog in the box? = no
the cup is on the table. the cup is off the table. the book is on the bed. the book is off the bed. => | where is the cup? = nothing; where is the book? = nothing; what is on the table? = nothing; what is on the bed? = nothing; is the cup on the table? = no; is the book on the bed? = no; where is the pen? = nothing; is the book on the table? = no
the cat is on the chair. the cat is off the chair. the car is red. the car is not red. the car is blue. => car is blue | where is the cat? = nothing; is the car red? = no; is the car blue? = yes; what is blue? = car; what color is the car? = blue; is the cat on the chair? = no; what is on the chair? = nothing; what is red? = nothing; is the cat blue? = no
the apple is not red. the apple is green. the ball is not red. the grass is not blue. the car is not black. => apple is green | what is green? = apple; is the apple red? = no; is the ball red? = no; is the grass blue? = no; is the car black? = no; is the apple green? = yes; what is red? = nothing; what color is the apple? = green; what is black? = nothing; what is blue? = nothing
the cup is blue. the cup is not blue. the dog is black. the dog is not black. => | is the cup blue? = no; is the dog black? = no; what is blue? = nothing; what is black? = nothing; what color is the cup? = nothing; what color is the dog? = nothing; is the dog blue? = no; is the cup black? = no
the cat is in the house. the cat left the house. the dog is in the house. tom took a ball. => dog in house; tom owns ball | what is in the house? = dog; who had the ball? = tom; where is the cat? = nothing; where is the dog? = house; is the cat in the house? = no; what did tom have? = ball; who had the cat? = nothing; is the dog in the garden? = no
the dog is in the garden. the dog left the garden. the dog is in the park. ann went to the garden. ann took a doll. => dog in park; ann in garden; ann owns doll | where is the dog? = park; what did ann have? = doll; where is ann? = garden; what is in the garden? = ann; is the dog in the garden? = no; who had the doll? = ann; what is in the park? = dog; is ann in the park? = no
the bird is in the tree. the bird left the tree. the cat is in the tree. ann had a ball. tom took the ball. => cat in tree; tom owns ball | what is in the tree? = cat; who had the ball? = tom; where is the bird? = nothing; where is the cat? = tree; is the bird in the tree? = no; what did tom have? = ball; what did ann have? = nothing; is the cat in the tree? = yes
tom had a bike. tom lost the bike. tom had a car. when the cat is in the garden, the dog is in the house. => tom owns car; cat in garden; dog in house | what did tom have? = car; where is the dog? = house; who had the car? = tom; who had the bike? = nothing; where is the cat? = garden; what is in the house? = dog; is the cat in the house? = no; what is in the garden? = cat
ann had a ball. ann lost the ball. ann had a doll. after the bird flew to the tree, the cat went to the garden. => ann owns doll; bird in tree; cat in garden | what did ann have? = doll; where is the cat? = garden; who had the doll? = ann; who had the ball? = nothing; where is the bird? = tree; what is in the garden? = cat; what is in the tree? = bird; is the cat in the tree? = no
when ann is in the room, her bag is on the bed. after the dog went to the park, the bird went to the tree. => ann in room; ann owns bag; bag in bed; dog in park; bird in tree | who had the bag? = ann; where is the bird? = tree; where is ann? = room; where is the bag? = bed; where is the dog? = park; what did ann have? = bag; what is in the tree? = bird; is the dog in the room? = no
when the ball is in the bag, the bag is in the car. after ann went to the school, tom went to the house. => ball in bag; bag in car; ann in school; tom in house | where is the bag? = car; where is tom? = house; where is the ball? = bag; where is ann? = school; what is in the car? = bag; what is in the bag? = ball; is tom in the school? = no; is the ball in the house? = no
after tom had a bike, tom had a car. while the cat is in the garden, the dog is in the house. => tom owns bike; tom owns car; cat in garden; dog in house | what did tom have? = bike, car; where is the cat? = garden; where is the dog? = house; who had the bike? = tom; who had the car? = tom; what is in the house? = dog; is the dog in the garden? = no; who had the cat? = nothing
while the keys are in the box, the pen is in the bag. while the dog is in the park, the cat is in the room. => keys in box; pen in bag; dog in park; cat in room | what is in the box? = keys; where is the dog? = park; where is the pen? = bag; where is the cat? = room; where are the keys? = box; what is in the room? = cat; is the cat in the park? = no; what is in the bag? = pen
before the cat went to the garden, the dog was in the house. the book would be in the bag. the car would be in the street. => cat in garden; dog in house; book in bag; car in street | where is the dog? = house; where is the book? = bag; where is the car? = street; where is the cat? = garden; what is in the bag? = book; what is in the street? = car; is the dog in the garden? = no; what is in the house? = dog
before the bird flew to the cage, the cat was in the room. the dog would be in the house. the key may be in the box. => bird in cage; cat in room; dog in house; key in box | where is the cat? = room; where is the dog? = house; where is the key? = box; where is the bird? = cage; what is in the cage? = bird; what is in the box? = key; is the key in the room? = no; what is in the house? = dog
the cat would be in the garden. the pen may be in the bag. the bird can be in the cage. => cat in garden; pen in bag; bird in cage | where is the cat? = garden; where is the pen? = bag; where is the bird? = cage; what is in the garden? = cat; what is in the bag? = pen; what is in the cage? = bird; is the pen in the cage? = no; where is the dog? = nothing
the cat can be in the room. the lamp is over the table. the picture is over the bed. => cat in room; lamp in table; picture in bed | where is the cat? = room; where is the lamp? = table; where is the picture? = bed; what is in the room? = cat; is the lamp over the table? = yes; is the picture over the table? = no; where is the dog? = nothing; what is over the bed? = picture
the cat went up the tree. the boy went up the stairs. the key for the box is red. => cat in tree; boy in stairs; key in box; key is red | where is the cat? = tree; where is the boy? = stairs; where is the key? = box; what is red? = key; what is in the tree? = cat; is the box red? = no; is the boy in the tree? = no; what is in the box? = key
the lid for the cup is blue. during the night, the cat is in the garden. during the day, the dog is in the house. => lid in cup; lid is blue; cat in garden; dog in house | what is blue? = lid; where is the cat? = garden; where is the dog? = house; where is the lid? = cup; is the cup blue? = no; what is in the garden? = cat; what is in the house? = dog; is the dog blue? = no
the cat is in the house. the cat is out of the house. the dog is in the house. the box has a key. the bag has no key. => dog in house; box owns key | what is in the house? = dog; what does the bag have? = nothing; where is the cat? = nothing; what does the box have? = key; where is the dog? = house; is the cat in the house? = no; what has a key? = box; is the dog in the box? = no
the key is in the box. the key is out of the box. the pen is in the box. the house has a door. the house has no roof. => pen in box; house owns door | what is in the box? = pen; what does the house have? = door; where is the key? = nothing; where is the pen? = box; is the key in the box? = no; what has a door? = house; what does the box have? = nothing; is the pen in the house? = no
the cup is on the table. the cup is off the table. the book is on the table. tom had a bike. tom has no car. => book in table; tom owns bike | what is on the table? = book; what did tom have? = bike; where is the cup? = nothing; where is the book? = table; who had the bike? = tom; who had the car? = nothing; is the cup on the table? = no; is the book on the table? = yes
the cat is on the bed. the cat is off the bed. the dog is on the bed. the bag has a pen. the bag has no book. => dog in bed; bag owns pen | what is on the bed? = dog; what does the bag have? = pen; where is the cat? = nothing; where is the dog? = bed; is the cat on the bed? = no; what has a pen? = bag; is the dog on the bed? = yes; what does the dog have? = nothing
the dog is in the car. the dog is out of the car. the cat is in the car. some keys are in the box. these books are on the table. => cat in car; keys in box; books in table | what is in the car? = cat; what is in the box? = keys; where are the books? = table; where is the dog? = nothing; where is the cat? = car; where are the keys? = box; what is on the table? = books; is the dog in the car? = no
some cats are in the garden. both dogs are in the house. these pens are in the bag. => cats in garden; dogs in house; pens in bag | where are the cats? = garden; where are the dogs? = house; what is in the bag? = pens; where are the pens? = bag; what is in the garden? = cats; what is in the house? = dogs; are the cats in the house? = no; where are the birds? = nothing
both birds are in the tree. many fish are in the pond. many cars are in the street. => birds in tree; fish in pond; cars in street | what is in the tree? = birds; where are the fish? = pond; what is in the street? = cars; where are the birds? = tree; where are the cars? = street; what is in the pond? = fish; are the fish in the tree? = no; where are the dogs? = nothing
the game is on the table. the song is on the radio. the city is in the north. => game in table; song in radio; city in north | where is the game? = table; where is the song? = radio; where is the city? = north; what is on the table? = game; what is on the radio? = song; what is in the north? = city; is the song on the table? = no; where is the war? = nothing
the game is in the box. the box is in the car. the song is in the film. the war is in the south. => game in box; box in car; song in film; war in south | where is the box? = car; what is in the film? = song; where is the war? = south; where is the game? = box; what is in the box? = game; what is in the car? = box; where is the song? = film; is the war in the film? = no; what is in the south? = war
the city has a park. the war is in the year. the album is in the box. => city owns park; war in year; album in box | what does the city have? = park; what is in the year? = war; where is the album? = box; where is the war? = year; what has a park? = city; what is in the box? = album; is the album in the year? = no; what does the album have? = nothing
the album is on the bed. the bed is in the room. we had a cat. it was grey. => album in bed; bed in room; we owns cat; cat is grey | where is the bed? = room; what did we have? = cat; what color is the cat? = grey; where is the album? = bed; what is on the bed? = album; what is in the room? = bed; who had the cat? = we; is the album grey? = no; what is grey? = cat
tom had a bird. it was pink. more cats are in the garden. more keys are in the box. => tom owns bird; bird is pink; cats in garden; keys in box | who had the bird? = tom; what color is the bird? = pink; where are the cats? = garden; what is in the box? = keys; what is pink? = bird; what did tom have? = bird; where are the keys? = box; is the bird in the garden? = no; who had the cats? = nothing
most dogs are in the park. most birds are in the tree. the cat is on the chair. => dogs in park; birds in tree; cat in chair | where are the dogs? = park; what is in the tree? = birds; where are the birds? = tree; what is in the park? = dogs; where is the cat? = chair; what is on the chair? = cat; are the dogs in the tree? = no; where are the fish? = nothing
# A comparative is a named relation: "bigger" names it, "than" does nothing, "bag" completes it,
# and both ends are kept. The trained readers of the time read it as a quality instead ("box is bigger") and ends the
# sentence at "than", so the thing compared against is thrown away. Two rows are wrong, and the
# step between the readings, moving "than" alone, changes no statement, so only a trace can pay
# for it (measured in a_comparison_can_keep_both_ends_now_that_a_word_can_name_a_relation).
#
# The trace asserts the STATE and not the route: a "label" pointer waiting after "bigger", and
# nothing about which behavior left it there. "bigger" has a second job in "a bigger box is in
# the house", where it is a quality. The hand-made Label program does both, the way Quality does:
# with an "is" pointer waiting the word names the relation, otherwise it is a quality of the next
# name. The scene with "a bigger box is in the house" asserts the other state (no pointer after
# "bigger") so one row serves both.
#
# Checked satisfiable by hand before it was written here: the (Label, Skip) reading scores 1.0 on
# trace and statement, and the (Quality, Settle) reading the readers of the time took falls short of it.
the box is bigger than the bag. the car is bigger than the bike. the dog is bigger than the cat. => box bigger bag; car bigger bike; dog bigger cat | is the box bigger than the bag? = yes; is the bag bigger than the box? = no; is the car bigger than the bike? = yes; is the bike bigger than the car? = no; is the dog bigger than the cat? = yes; is the cat bigger than the dog? = no; where is the box? = nothing; where is the bike? = nothing
such a dog is in the house. the key is in the box. however the pen is in the bag. the time is in the film. => dog in house; key in box; pen in bag; time in film | where is the dog? = house; where is the pen? = bag; what is in the film? = time; where is the key? = box; what is in the house? = dog; where is the time? = film; what is in the bag? = pen; is the key in the bag? = no
such a bird is in the cage. the cat is in the house. however the dog is in the garden. => bird in cage; cat in house; dog in garden | where is the bird? = cage; where is the dog? = garden; where is the cat? = house; what is in the cage? = bird; what is in the garden? = dog; is the dog in the house? = no; is the bird in the garden? = no; where is the fish? = nothing
the cat was in the house. later the cat went to the garden. the time is on the clock. the year is in the series. => cat in garden; time in clock; year in series | where is the cat? = garden; where is the time? = clock; what is in the series? = year; what is in the garden? = cat; is the cat in the house? = no; what is on the clock? = time; where is the year? = series; what is in the house? = nothing
the bird was in the tree. later the bird flew to the cage. the film is in the series. the second box is red. => bird in cage; film in series; box is second; box is red | where is the bird? = cage; where is the film? = series; what is second? = box; what is red? = box; what is in the cage? = bird; what is in the series? = film; is the bird in the tree? = no; is the film red? = no
the second car is in the garage. the city is in the north. the park is in the city. => car is second; car in garage; city in north; park in city | what is second? = car; what is in the city? = park; where is the car? = garage; where is the city? = north; where is the park? = city; what is in the north? = city; is the car in the city? = no; what is in the garage? = car
the town is in the south. the school is in the town. the forest is in the east. the lake is in the forest. => town in south; school in town; forest in east; lake in forest | what is in the town? = school; what is in the forest? = lake; where is the town? = south; where is the school? = town; where is the forest? = east; where is the lake? = forest; what is in the south? = town; is the lake in the town? = no; what is in the east? = forest
the cat went through the garden. the world has a north and a south. the box is under the table. => cat in garden; world owns north; world owns south; box in table | where is the cat? = garden; what does the world have? = north, south; where is the box? = table; what is in the garden? = cat; what has a north? = world; is the box under the table? = yes; is the cat under the table? = no; what does the box have? = nothing
the dog went through the park. the world has a city. the cat is under the bed. => dog in park; world owns city; cat in bed | where is the dog? = park; what does the world have? = city; where is the cat? = bed; what is in the park? = dog; what has a city? = world; is the cat under the bed? = yes; is the dog under the bed? = no; what does the city have? = nothing
the cat was in the house until the cat went to the garden. the key was in the box until the key went into the bag. => cat in garden; key in bag | where is the cat? = garden; where is the key? = bag; what is in the garden? = cat; what is in the bag? = key; is the cat in the house? = no; is the key in the box? = no; what is in the box? = nothing; where is the dog? = nothing
the dog is in the house because the cat is in the garden. although the key is in the box, the pen is in the bag. => dog in house; cat in garden; key in box; pen in bag | where is the cat? = garden; where is the pen? = bag; where is the dog? = house; where is the key? = box; what is in the house? = dog; what is in the box? = key; is the cat in the house? = no; what is in the bag? = pen
the key is in the box because the pen is in the bag. although the cat is in the house, the dog is in the garden. => key in box; pen in bag; cat in house; dog in garden | what is in the box? = key; where is the dog? = garden; where is the pen? = bag; where is the cat? = house; where is the key? = box; what is in the garden? = dog; is the pen in the box? = no; what is in the house? = cat
although the dog is in the park, the cat is in the room. the box is in the car so the bag is in the house. => dog in park; cat in room; box in car; bag in house | what is in the park? = dog; where is the bag? = house; where is the cat? = room; where is the box? = car; where is the dog? = park; what is in the car? = box; is the bag in the car? = no; what is in the room? = cat
the cat is in the house so the dog is in the garden. several keys are in the box. => cat in house; dog in garden; keys in box | where is the dog? = garden; what is in the box? = keys; where is the cat? = house; where are the keys? = box; what is in the garden? = dog; is the dog in the house? = no; what is in the house? = cat; are the keys in the house? = no
several cats are in the garden. four dogs are in the park. four birds are in the tree. => cats in garden; dogs in park; dogs is four; four = 4; birds in tree; birds is four | where are the cats? = garden; where are the dogs? = park; how many dogs are in the park? = 4; what is in the tree? = birds; how many birds are in the tree? = 4; where are the birds? = tree; what is in the park? = dogs; are the cats in the park? = no
two dogs and three cats are in the park. three keys and four pens are in the box. => dogs in park; cats in park; dogs is two; cats is three; two = 2; three = 3; keys in box; pens in box; keys is three; pens is four; four = 4 | how many dogs are in the park? = 2; how many cats are in the park? = 3; how many keys are in the box? = 3; how many pens are in the box? = 4; where are the dogs? = park; where are the pens? = box; what is in the box? = keys, pens; what is in the park? = cats, dogs; are the keys in the park? = no
two is a number. seven is a number. seven dogs are in the park. => two is number; seven is number; dogs in park; dogs is seven; two = 2; seven = 7 | where are the dogs? = park; how many dogs are in the park? = 7; is two a number? = yes; is seven a number? = yes; what is in the park? = dogs; is seven a color? = no; are the dogs in the house? = no; where are the cats? = nothing
red is a color. pink is a color. the pink hat is in the box. => red is color; pink is color; hat is pink; hat in box | what is in the box? = hat; where is the hat? = box; what is pink? = hat; is pink a color? = yes; what color is the hat? = pink; is the hat red? = no; is red a color? = yes; what is red? = nothing
blue is a color. grey is a color. the grey cat is in the room. => blue is color; grey is color; cat is grey; cat in room | where is the cat? = room; what is grey? = cat; what color is the cat? = grey; is the cat blue? = no; is grey a color? = yes; what is in the room? = cat; is blue a color? = yes; where is the dog? = nothing
red is a color. white is a color. the white dog is in the garden. => red is color; white is color; dog is white; dog in garden | where is the dog? = garden; what is white? = dog; what color is the dog? = white; is the dog red? = no; is white a color? = yes; what is in the garden? = dog; is red a color? = yes; where is the cat? = nothing
green is a color. black is a color. the black bag is on the bed. => green is color; black is color; bag is black; bag in bed | what is in the bed? = bag; where is the bag? = bed; what is black? = bag; what color is the bag? = black; is the bag green? = no; is black a color? = yes; is green a color? = yes; what is on the bed? = bag
the garden is a place. the park is a place. the dog is in the park. => garden is place; park is place; dog in park | where is the dog? = park; is the park a place? = yes; is the garden a place? = yes; what is in the park? = dog; is the dog a place? = no; what is in the garden? = nothing; is the dog in the garden? = no; where is the cat? = nothing
